ID,Number,Name,Type1,Type2,Total,HP,Atk,Def,SpAtk,SpDef,Spd,Species,Height,Weight
1,001,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,Seed Pokémon,0.7 m,6.9 kg
2,002,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,Seed Pokémon,1.0 m,13.0 kg
3,003,Venusaur,Grass,Poison,525,80,82,83,100,100,80,Seed Pokémon,2.0 m,100.0 kg
4,003,Venusaur(Mega Venusaur),Grass,Poison,625,80,100,123,122,120,80,Seed Pokémon,2.4 m,155.5 kg
5,004,Charmander,Fire,,309,39,52,43,60,50,65,Lizard Pokémon,0.6 m,8.5 kg
6,005,Charmeleon,Fire,,405,58,64,58,80,65,80,Flame Pokémon,1.1 m,19.0 kg
7,006,Charizard,Fire,Flying,534,78,84,78,109,85,100,Flame Pokémon,1.7 m,90.5 kg
8,006,Charizard(Mega Charizard X),Fire,Dragon,634,78,130,111,130,85,100,Flame Pokémon,1.7 m,110.5 kg
9,006,Charizard(Mega Charizard Y),Fire,Flying,634,78,104,78,159,115,100,Flame Pokémon,1.7 m,100.5 kg
10,007,Squirtle,Water,,314,44,48,65,50,64,43,Tiny Turtle Pokémon,0.5 m,9.0 kg
11,008,Wartortle,Water,,405,59,63,80,65,80,58,Turtle Pokémon,1.0 m,22.5 kg
12,009,Blastoise,Water,,530,79,83,100,85,105,78,Shellfish Pokémon,1.6 m,85.5 kg
13,009,Blastoise(Mega Blastoise),Water,,630,79,103,120,135,115,78,Shellfish Pokémon,1.6 m,101.1 kg
14,010,Caterpie,Bug,,195,45,30,35,20,20,45,Worm Pokémon,0.3 m,2.9 kg
15,011,Metapod,Bug,,205,50,20,55,25,25,30,Cocoon Pokémon,0.7 m,9.9 kg
16,012,Butterfree,Bug,Flying,395,60,45,50,90,80,70,Butterfly Pokémon,1.1 m,32.0 kg
17,013,Weedle,Bug,Poison,195,40,35,30,20,20,50,Hairy Bug Pokémon,0.3 m,3.2 kg
18,014,Kakuna,Bug,Poison,205,45,25,50,25,25,35,Cocoon Pokémon,0.6 m,10.0 kg
19,015,Beedrill,Bug,Poison,395,65,90,40,45,80,75,Poison Bee Pokémon,1.0 m,29.5 kg
20,015,Beedrill(Mega Beedrill),Bug,Poison,495,65,150,40,15,80,145,Poison Bee Pokémon,1.4 m,40.5 kg
21,016,Pidgey,Normal,Flying,251,40,45,40,35,35,56,Tiny Bird Pokémon,0.3 m,1.8 kg
22,017,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,Bird Pokémon,1.1 m,30.0 kg
23,018,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,Bird Pokémon,1.5 m,39.5 kg
24,018,Pidgeot(Mega Pidgeot),Normal,Flying,579,83,80,80,135,80,121,Bird Pokémon,2.2 m,50.5 kg
